index;url;website;thecorner;thecorner_tips
1;abritel;Abritel;-4 %;'-4 %'
2;adidas;Adidas;-10 %;'-10 %'
3;airbnb;Airbnb;-5 %;'-5 %'
4;alamo;Alamo;-5% à -15%;'-5% à -15%'
5;entreprise;Entreprise;-5% à -15%;'-5% à -15%'
6;national;National;-5% à -15%;'-5% à -15%'
7;alinéa;Alinéa;-8 %;'-8 %'
8;alpiq;Alpiq;-28 %;'-28 %'
9;ampm;Ampm;-5 %;'-5 %'
10;asos;Asos;-7 %;'-7 %'
11;asterix;Astérix;-14 %;'-14 %'
12;aubert;Aubert;-12 %;'-12 %'
13;auchan;Auchan;-5 %;'-5 %'
14;ayvens;Ayvens;-10 %;'-10 %'
15;azureva;Azureva;-10 %;'-10 %'
16;babbel;Babbel;-20% à -30%;'-20% à -30%'
17;Beauteprivee;Beauté Privée;-5 %;'-5 %'
18;belambra;Belambra;-8 %;'-8 %'
19;bonobo;Bonobo;-11 %;'-11 %'
20;boohoo;Boohoo;-8 %;'-8 %'
21;boohooman;Boohoo Man;-8 %;'-8 %'
22;booking.com;Booking.com;-4 %;'-4 %'
23;breal;Breal;-11 %;'-11 %'
24;bricocash;Brico Cash;-6 %;'-6 %'
25;bricomarche;Bricomarche;-6 %;'-6 %'
26;bricorama;Bricorama;-6 %;'-6 %'
27;cache-cache;Cache Cache;-11 %;'-11 %'
28;carrefour;Carrefour;-5 %;'-5 %'
29;castorama;Castorama;-6 %;'-6 %'
30;cdiscount;Cdiscount;-4 %;'-4 %'
31;celio;Celio;-6 %;'-6 %'
32;centerparcs;Center Parcs;-5% à -30%;'-5% à -30%'
33;Cgrcinemas;Cgr Cinéma;7,50 €;'7,50 €'
34;cinecheque;Cinéchèque;6,95 €;'6,95 €'
35;cobac-parc;Cobac Parc;-6% à -8%;'-6% à -8%'
37;conforama;Conforama;-7 %;'-7 %'
38;converse ;Converse ;-6 %;'-6 %'
39;cultura;Cultura;-5 %;'-5 %'
40;cyrillus;Cyrillus;-7 %;'-7 %'
41;darty;Darty;-5 %;'-5 %'
42;decathlon;Decathlon;-4 %;'-4 %'
43;deezer;Deezer;-22% à -37%;'-22% à -37%'
44;deliveroo;Deliveroo;-4 %;'-4 %'
45;dpam;Du Pareil Au Même;-9 %;'-9 %'
46;ector;Ector;-13 %;'-13 %'
